,Incident_ID,Month,Day,Year,Date,School,Victims_Killed,Victims_Wounded,Number_Victims,Shooter_Killed,Quarter,City,State,School_Level,Location,Time_Period,Bullied,Domestic_Violence,Gang_Related
125,20220519MIEAK,5,19,2022,2022-05-19,East Kentwood High School,0,2,2,0,Spring,Kentwood,MI,High,Parking Lot,Sport Event,No,No,
126,20220519LAHAH,5,19,2022,2022-05-19,Hammond High Magnet School,0,3,3,0,Spring,Hammond,LA,High,Off School Property,School Event,No,No,Yes
127,20220518TNRIM,5,18,2022,2022-05-18,Riverdale High School,1,1,2,0,Spring,Murfreesboro,TN,High,Off School Property,School Event,No,No,
128,20220518FLPAP,5,18,2022,2022-05-18,Palmetto High School,0,0,0,0,Spring,Palmetto,FL,High,Football Field/Track,Sport Event,No,No,
129,20220517ILWAC,5,17,2022,2022-05-17,Walt Disney Magnet School,0,1,1,0,Spring,Chicago,IL,K-8,Classroom,Morning Classes,No,No,No
130,20220517CASAS,5,17,2022,2022-05-17,School Bus,0,0,0,0,Spring,San Francisco,CA,Other,School Bus,Morning Classes,No,No,
131,20220516TXMEM,5,16,2022,2022-05-16,Mexia High School,0,0,0,0,Spring,Mexia,TX,High,Bathroom,Morning Classes,No,No,
132,20220515ILMEP,5,15,2022,2022-05-15,Meadow View Elementary School,0,1,1,0,Spring,Plainfield,IL,Elementary,Field (General),Evening,No,No,
133,20220515NHBEB,5,15,2022,2022-05-15,Belmont Elementary School,0,0,0,0,Spring,Belmont,NH,Elementary,Parking Lot,Not a School Day,No,No,No
134,20220513GASOM,5,13,2022,2022-05-13,Southwest High School,0,1,1,0,Spring,Macon,GA,High,Parking Lot,Evening,No,No,
135,20220513FLALW,5,13,2022,2022-05-13,Alexander W. Dreyfoos School of the Arts,1,0,1,0,Spring,West Palm Beach,FL,High,Beside Building,Lunch,,,
136,20220512TXHEH,5,12,2022,2022-05-12,Heights High School,0,1,1,0,Spring,Houston,TX,High,Parking Lot,Afternoon Classes,No,No,
137,20220512ARHOH,5,12,2022,2022-05-12,Hot Springs High School,1,2,3,0,Spring,Hot Springs,AR,High,Off School Property,Sport Event,No,No,No
138,20220511FLJAJ,5,11,2022,2022-05-11,Andrew Jackson High School,0,1,1,0,Spring,Jacksonville,FL,High,Beside Building,Dismissal,No,No,
139,20220509NYEDS,5,9,2022,2022-05-09,Eden Ii Institute,1,0,1,0,Spring,Staten Island,NY,Other,Front of School,Afternoon Classes,No,No,
140,20220509GARIS,5,9,2022,2022-05-09,Riverside Elementary School,0,0,0,0,Spring,Suwanee,GA,Elementary,School Bus,School Start,No,No,No
141,20220505ALDOD,5,5,2022,2022-05-05,Dothan City School Bus,0,0,0,0,Spring,Dothan,AL,K-12,School Bus,After School,No,No,No
142,20220505OHLOL,5,5,2022,2022-05-05,Lowellville K-12 School,0,0,0,1,Spring,Lowellville,OH,K-12,Cafeteria,Morning Classes,,No,No
143,20220503CAARS,5,3,2022,2022-05-03,Arrowview Middle School,0,0,0,0,Spring,San Bernardino,CA,Middle,Outside on School Property,Before School,No,No,
144,20220501OHHAC,5,1,2022,2022-05-01,Hamilton Stem Academy,1,0,1,0,Spring,Columbus,OH,Elementary,Parking Lot,Not a School Day,No,,
145,20220501VALOM,5,1,2022,2022-05-01,Louise A. Benton Middle School,0,2,2,0,Spring,Manassas,VA,Middle,Football Field/Track,Sport Event,No,No,No
146,20220430PAMCJ,4,30,2022,2022-04-30,McKee Middle School (McKee Stadium),0,0,0,0,Spring,Jeannette City,PA,Middle,Football Field/Track,Sport Event,No,No,No
147,20220427INCOS,4,27,2022,2022-04-27,Coquillard Elementary School,0,0,0,0,Spring,South Bend,IN,Elementary,School Bus,Dismissal,,No,No
148,20220427TXMOS,4,27,2022,2022-04-27,Morrill Elementary School,0,1,1,0,Spring,San Antonio,TX,Elementary,Front of School,Evening,,,
149,20220426MIASI,4,26,2022,2022-04-26,Aspen Ridge School,0,0,0,1,Spring,Ishpeming Township,MI,K-8,Bathroom,Afternoon Classes,,No,No
150,20220426GASOM,4,26,2022,2022-04-26,Southwest High School,1,0,1,0,Spring,Macon,GA,High,Parking Lot,Night,No,No,
151,20220425WIWIM,4,25,2022,2022-04-25,Wisconsin Conservatory of Lifelong Learning,0,0,0,0,Spring,Milwaukee,WI,2022-06-12 00:00:00,Front of School,Dismissal,No,No,
152,20220425GAMAM,4,25,2022,2022-04-25,Marietta City Schools Bus Yard,0,0,0,0,Spring,Marietta,GA,Other,Parking Lot (Bus),Night,No,No,No
153,20220424MOHAF,4,24,2022,2022-04-24,Hazelwood Central High School,1,0,1,0,Spring,Florissant,MO,High,Parking Lot,Not a School Day,No,No,
154,20220422DCEDW,4,22,2022,2022-04-22,Edmund Burke School,0,4,4,1,Spring,Washington,DC,2022-06-12 00:00:00,Hallway,Afternoon Classes,,No,No
155,20220422ORHOS,4,22,2022,2022-04-22,Houck Middle School,0,0,0,0,Spring,Salem,OR,Middle,Outside on School Property,Night,No,No,
156,20220422CAMOR,4,22,2022,2022-04-22,Mountain View Middle School,0,0,0,0,Spring,Redding,CA,Middle,Field (General),Sport Event,No,No,No
157,20220421NDMOM,4,21,2022,2022-04-21,Mott-Regent High School,1,0,1,0,Spring,Mott,ND,K-12,Entryway,Afternoon Classes,,,
158,20220416IAMED,4,16,2022,2022-04-16,Meredith Middle School,0,1,1,0,Spring,Des Moines,IA,Middle,Front of School,Evening,No,,
159,20220415VAGAW,4,15,2022,2022-04-15,Gar-Field High School,0,1,1,0,Spring,Woodbridge,VA,High,Field (General),School Event,No,No,No
160,20220414MSNEP,4,14,2022,2022-04-14,Neshoba Central High School,0,2,2,0,Spring,Philadelphia,MS,High,Football Field/Track,Lunch,No,No,No
161,20220413MISHS,4,13,2022,2022-04-13,Shelters Elementary School,0,0,0,0,Spring,Southgate,MI,Elementary,Playground,Afternoon Classes,,No,No
162,20220411ARPIP,4,11,2022,2022-04-11,Pine Bluff High School,0,0,0,0,Spring,Pine Bluff,AR,High,Parking Lot,Afternoon Classes,No,No,
163,20220410MALYL,4,10,2022,2022-04-10,Lynn English High School,1,0,1,0,Spring,Lynn,MA,High,Parking Lot,Night,No,No,
164,20220406WASTM,4,6,2022,2022-04-06,St. Monica Catholic School,0,0,0,0,Spring,Mercer Island,WA,Elementary,Playground,Afternoon Classes,No,No,No
165,20220406ORROP,4,6,2022,2022-04-06,Roosevelt High School,0,1,1,0,Spring,Portland,OR,High,Parking Lot,Night,No,No,
166,20220406WVRIR,4,6,2022,2022-04-06,Ripley Middle School,0,0,0,0,Spring,Ripley,WV,Middle,School Bus,School Start,,No,No
167,20220405PAERE,4,5,2022,2022-04-05,Erie High School,0,1,1,0,Spring,Erie,PA,High,Hallway,Morning Classes,,No,
168,20220403INBLB,4,3,2022,2022-04-03,Bloomington High School South,0,1,1,0,Spring,Bloomington,IN,High,Parking Lot,Evening,No,No,
169,20220331SCTAG,3,31,2022,2022-03-31,Tanglewood Middle School,1,0,1,0,Spring,Greenville,SC,Middle,Hallway,Afternoon Classes,,No,No
170,20220331PAACP,3,31,2022,2022-03-31,West Philadelphia Achievement Charter Elementary School,0,0,0,0,Spring,Philadelphia,PA,Elementary,Playground,School Start,No,No,No
171,20220330GABOA,3,30,2022,2022-03-30,Booker T Washington High School,0,0,0,0,Spring,Atlanta,GA,High,Front of School,Dismissal,No,No,No
172,20220330AZKIK,3,30,2022,2022-03-30,Kingman High School,0,1,1,0,Spring,Kingman,AZ,High,School Bus,Dismissal,No,No,No
173,20220329VALUR,3,29,2022,2022-03-29,Lucy Addison Middle School,0,0,0,0,Spring,Roanoke,VA,Middle,Bathroom,Afternoon Classes,No,No,No
174,20220329NVWEL,3,29,2022,2022-03-29,Western High School,0,2,2,0,Spring,Las Vegas,NV,High,Parking Lot,Dismissal,,,
175,20220328TXNOF,3,28,2022,2022-03-28,North Crowley High School,0,0,0,0,Spring,Fort Worth,TX,High,Parking Lot,After School,No,No,No
176,20220328NCOAC,3,28,2022,2022-03-28,Oakdale Elementary School,0,1,1,0,Spring,Charlotte,NC,Elementary,Parking Lot,Not a School Day,No,No,No
177,20220325TNBRM,3,25,2022,2022-03-25,Brighton High School,0,0,0,0,Spring,Memphis,TN,High,Parking Lot,Evening,No,No,
178,20220325UTHIS,3,25,2022,2022-03-25,Highland High School,0,0,0,0,Spring,Salt Lake City,UT,High,Parking Lot,Lunch,No,No,No
179,20220325TXROR,3,25,2022,2022-03-25,Royse City High School,0,0,0,0,Spring,Royse City,TX,High,Parking Lot,School Start,No,No,No
180,20220324VARIW,3,24,2022,2022-03-24,Rippon Middle School,0,0,0,0,Spring,Woodbridge,VA,Middle,Beside Building,Morning Classes,No,Yes,No
181,20220322VAJAR,3,22,2022,2022-03-22,James Madison Middle School,0,0,0,0,Spring,Roanoke,VA,Middle,School Bus,Dismissal,No,No,
